label1	:	NF
label2	:	NF
label3	:	NF
label4	:	F
label5	:	F
label6	:	NF
label7	:	NF
label8	:	NF
label9	:	NF
label10	:	F
label11	:	NF
label12	:	NF
label13	:	F
label14	:	NF
label15	:	NF
label16	:	NF
label17	:	NF
label18	:	F
label19	:	F
label20	:	F
label21	:	F
label22	:	NF
label23	:	F
label24	:	NF
label25	:	NF
label26	:	NF
label27	:	NF
label28	:	NF
label29	:	F
label30	:	NF
label31	:	F
label32	:	NF
label33	:	F
label34	:	F
label35	:	NF
label36	:	NF
label37	:	NF
label38	:	NF
label39	:	F
label40	:	NF
label41	:	F
label42	:	NF
label43	:	NF
label44	:	F
label45	:	F
label46	:	NF
label47	:	F
label48	:	F
label49	:	F
label50	:	F
label51	:	F
label52	:	F
label53	:	F
label54	:	NF
label55	:	F
label56	:	F
label57	:	NF
label58	:	F
label59	:	NF
label60	:	F
label61	:	NF
label62	:	NF
label63	:	F
label64	:	NF
label65	:	NF
label66	:	F
label67	:	F
	:	
label68	:	F
label69	:	F
label70	:	F
label71	:	F
label72	:	F
label73	:	F
label74	:	F
label75	:	F
label76	:	F
label77	:	F
label78	:	F
label79	:	F
label80	:	F
label81	:	F
label82	:	F
label83	:	F
label84	:	F
label85	:	F
label86	:	F
label87	:	F
label88	:	F
label89	:	F
label90	:	F
label91	:	F
label92	:	F
label93	:	F
label94	:	F
label95	:	F
label96	:	F
label97	:	F
label98	:	F
label99	:	F
label100	:	F
label101	:	F
label102	:	F
label103	:	F
label104	:	F
label105	:	F
label106	:	F
label107	:	F
label108	:	F
label109	:	F
label110	:	F
label111	:	F
label112	:	F
label113	:	F
label114	:	F
label115	:	F
label116	:	F
label117	:	F
label118	:	F
label119	:	F
label120	:	F
label121	:	F
label122	:	F
label123	:	F
label124	:	F
label125	:	F
label126	:	F
label127	:	F
label128	:	F
label129	:	F
label130	:	F
label131	:	F
label132	:	F
label133	:	F
label134	:	F
	:	
label135	:	F
label136	:	F
label137	:	F
label138	:	F
label139	:	F
label140	:	F
label141	:	F
label142	:	F
label143	:	F
label144	:	F
label145	:	F
label146	:	F
label147	:	F
label148	:	F
label149	:	F
label150	:	F
label151	:	F
label152	:	F
label153	:	F
label154	:	F
label155	:	F
label156	:	F
label157	:	F
label158	:	F
label159	:	F
label160	:	F
label161	:	F
label162	:	F
label163	:	F
label164	:	F
label165	:	F
label166	:	F
label167	:	F
label168	:	F
label169	:	F
label170	:	F
label171	:	F
label172	:	F
label173	:	F
label174	:	F
label175	:	F
label176	:	F
label177	:	F
label178	:	F
label179	:	F
label180	:	F
label181	:	F
label182	:	F
label183	:	F
label184	:	F
label185	:	F
label186	:	F
label187	:	F
label188	:	F
label189	:	F
label190	:	F
label191	:	F
label192	:	F
label193	:	F
label194	:	F
label195	:	F
label196	:	F
label197	:	F
label198	:	F
label199	:	F
label200	:	F
label201	:	F
label202	:	F
label203	:	F
label204	:	F
label205	:	F
label206	:	F
label207	:	F
label208	:	F
label209	:	F
label210	:	F
label211	:	F
label212	:	F
label213	:	F
label214	:	F
label215	:	F
label216	:	F
label217	:	F
label218	:	F
label219	:	F
label220	:	F
label221	:	F
label222	:	F
label223	:	F
label224	:	F
label225	:	F
label226	:	F
label227	:	F
label228	:	NF
label229	:	F
label230	:	F
label231	:	F
label232	:	F
label233	:	F
label234	:	NF
label235	:	F
label236	:	F
label237	:	F
label238	:	F
label239	:	F
label240	:	F
label241	:	F
label242	:	NF
label243	:	F
label244	:	F
label245	:	F
label246	:	F
label247	:	F
label248	:	F
label249	:	F
label250	:	NF
label251	:	F
label252	:	F
label253	:	F
label254	:	F
label255	:	F
label256	:	F
label257	:	F
label258	:	F
label259	:	F
label260	:	F
label261	:	F
label262	:	F
